Rank,Symbol,Name,Country,SmartScore,SmartProb,FundaScore,FundaProb,TechScore,TechProb,SentiScore,SentiProb,RiskScore,RiskProb,Sector,Industry,Accurate,pe,market_cap,perf_week,perf_month,perf_quarter,perf_halfyear,perf_year,perf_ytd,roe,dividend_yield,roi,high_52w,low_52w,avg_volume,beta
<b>598</b>,<b><a href='https://tossinvest.com/stocks/NVT/analytics'>NVT</a></b>,nVent Electric plc,GB,6,40.4%,5,39.4%,6,39.8%,9,43.7%,5,1.8%,Industrials,Electrical Equipment,False,33.76,10.97B,<span style='color: red;'>-1.53%</span>,<span style='color: red;'>-11.20%</span>,<span style='color: red;'>-8.69%</span>,<span style='color: green;'>1.13%</span>,<span style='color: green;'>5.39%</span>,<span style='color: red;'>-2.45%</span>,8.73%,1.16%,6.09%,-23.20%,17.81%,1.82M,1.29
<b>599</b>,<b><a href='https://tossinvest.com/stocks/AWK/analytics'>AWK</a></b>,American Water Works Co. Inc,US,6,40.4%,5,39.5%,6,39.9%,5,39.7%,6,0.8%,Utilities,Water Utilities,False,25.52,25.08B,<span style='color: green;'>2.92%</span>,<span style='color: green;'>1.85%</span>,<span style='color: red;'>-4.14%</span>,<span style='color: red;'>-8.59%</span>,<span style='color: green;'>6.54%</span>,<span style='color: green;'>3.36%</span>,9.70%,2.53%,4.28%,-14.61%,13.53%,1.23M,0.70
<b>600</b>,<b><a href='https://tossinvest.com/stocks/CSX/analytics'>CSX</a></b>,CSX Corp,US,6,40.4%,5,39.5%,6,40.0%,8,42.6%,6,0.9%,Industrials,Road & Rail,False,18.11,62.60B,<span style='color: red;'>-1.40%</span>,<span style='color: red;'>-2.43%</span>,<span style='color: red;'>-7.60%</span>,<span style='color: red;'>-3.51%</span>,<span style='color: red;'>-11.60%</span>,<span style='color: green;'>0.59%</span>,28.28%,1.38%,11.46%,-19.09%,3.28%,12.62M,1.24
<b>601</b>,<b><a href='https://tossinvest.com/stocks/PFE/analytics'>PFE</a></b>,Pfizer Inc,US,6,40.4%,6,40.4%,6,40.7%,6,39.8%,6,0.9%,Health Care,Pharmaceuticals,False,18.40,146.78B,<span style='color: green;'>1.69%</span>,<span style='color: red;'>-2.78%</span>,<span style='color: green;'>4.44%</span>,<span style='color: red;'>-8.66%</span>,<span style='color: red;'>-2.01%</span>,<span style='color: red;'>-2.37%</span>,4.52%,6.55%,5.34%,-17.88%,5.80%,39.98M,0.58
<b>602</b>,<b><a href='https://tossinvest.com/stocks/SJM/analytics'>SJM</a></b>,J.M. Smucker Co,US,6,40.4%,5,38.3%,6,40.0%,8,42.5%,6,0.9%,Consumer Staples,Food Products,False,21.67,11.42B,<span style='color: green;'>3.29%</span>,<span style='color: green;'>3.73%</span>,<span style='color: green;'>0.36%</span>,<span style='color: red;'>-10.37%</span>,<span style='color: red;'>-11.06%</span>,<span style='color: red;'>-2.56%</span>,7.15%,4.01%,3.62%,-15.90%,8.64%,1.19M,0.28
<b>603</b>,<b><a href='https://tossinvest.com/stocks/CHE/analytics'>CHE</a></b>,Chemed Corp,US,6,40.4%,6,40.5%,8,43.5%,8,42.3%,6,1.2%,Health Care,Health Care Providers ...,False,27.81,8.24B,<span style='color: green;'>0.11%</span>,<span style='color: red;'>-1.63%</span>,<span style='color: red;'>-1.32%</span>,<span style='color: red;'>-4.67%</span>,<span style='color: red;'>-5.48%</span>,<span style='color: green;'>3.83%</span>,26.76%,0.29%,22.50%,-15.97%,7.42%,93.20K,0.44
<b>604</b>,<b><a href='https://tossinvest.com/stocks/MIDD/analytics'>MIDD</a></b>,Middleby Corp,US,6,40.4%,6,40.5%,8,43.4%,8,42.5%,6,1.0%,Industrials,Machinery,False,23.41,9.14B,<span style='color: green;'>2.92%</span>,<span style='color: green;'>18.17%</span>,<span style='color: green;'>24.94%</span>,<span style='color: green;'>21.51%</span>,<span style='color: green;'>17.56%</span>,<span style='color: green;'>25.45%</span>,11.73%,,6.59%,-4.49%,43.50%,705.59K,1.73
<b>605</b>,<b><a href='https://tossinvest.com/stocks/LVS/analytics'>LVS</a></b>,Las Vegas Sands Corp,US,6,40.3%,7,41.1%,5,39.0%,8,43.2%,6,1.3%,Consumer Discretionary,"Hotels, Restaurants & ...",False,22.97,32.20B,<span style='color: green;'>7.35%</span>,<span style='color: red;'>-0.86%</span>,<span style='color: red;'>-6.23%</span>,<span style='color: green;'>10.09%</span>,<span style='color: red;'>-18.61%</span>,<span style='color: red;'>-12.44%</span>,41.30%,2.18%,10.59%,-20.55%,22.80%,5.13M,1.08
<b>606</b>,<b><a href='https://tossinvest.com/stocks/INTU/analytics'>INTU</a></b>,Intuit Inc,US,6,40.3%,7,41.2%,7,42.1%,8,42.4%,6,1.3%,Information Technology,Software,False,56.33,162.09B,<span style='color: green;'>0.44%</span>,<span style='color: red;'>-4.98%</span>,<span style='color: red;'>-15.82%</span>,<span style='color: red;'>-12.70%</span>,<span style='color: red;'>-11.69%</span>,<span style='color: red;'>-7.86%</span>,16.62%,0.69%,11.99%,-18.98%,3.91%,1.70M,1.28
<b>607</b>,<b><a href='https://tossinvest.com/stocks/PPL/analytics'>PPL</a></b>,PPL Corp,US,6,40.3%,5,38.6%,6,40.9%,7,41.9%,7,0.7%,Utilities,Electric Utilities,False,28.51,25.21B,<span style='color: red;'>-1.07%</span>,<span style='color: green;'>1.73%</span>,<span style='color: green;'>1.34%</span>,<span style='color: green;'>8.83%</span>,<span style='color: green;'>28.19%</span>,<span style='color: green;'>5.21%</span>,6.33%,3.18%,2.95%,-2.83%,32.01%,4.39M,0.80
<b>608</b>,<b><a href='https://tossinvest.com/stocks/UPS/analytics'>UPS</a></b>,"United Parcel Service, Inc",US,6,40.3%,7,41.2%,5,39.5%,9,44.3%,5,1.6%,Industrials,Air Freight & Logistics,False,17.25,99.60B,<span style='color: green;'>2.05%</span>,<span style='color: red;'>-12.25%</span>,<span style='color: red;'>-11.98%</span>,<span style='color: red;'>-8.49%</span>,<span style='color: red;'>-18.59%</span>,<span style='color: red;'>-7.53%</span>,33.99%,5.63%,14.53%,-26.64%,6.58%,5.65M,0.94
<b>609</b>,<b><a href='https://tossinvest.com/stocks/LNT/analytics'>LNT</a></b>,Alliant Energy Corp,US,6,40.3%,5,39.5%,8,43.3%,5,39.2%,6,0.8%,Utilities,Electric Utilities,False,23.92,15.81B,<span style='color: green;'>1.63%</span>,<span style='color: green;'>1.02%</span>,<span style='color: green;'>1.05%</span>,<span style='color: green;'>7.70%</span>,<span style='color: green;'>30.82%</span>,<span style='color: green;'>4.19%</span>,9.65%,3.29%,4.08%,-4.00%,31.67%,1.44M,0.56
<b>610</b>,<b><a href='https://tossinvest.com/stocks/PHYS/analytics'>PHYS</a></b>,Sprott Physical Gold Trust,CA,6,40.3%,5,38.1%,5,39.5%,5,39.1%,7,0.6%,,,False,,9.60B,<span style='color: green;'>1.34%</span>,<span style='color: green;'>7.36%</span>,<span style='color: green;'>15.66%</span>,<span style='color: green;'>17.03%</span>,<span style='color: green;'>46.77%</span>,<span style='color: green;'>12.96%</span>,,,,0.18%,46.30%,2.78M,0.14
<b>611</b>,<b><a href='https://tossinvest.com/stocks/D/analytics'>D</a></b>,Dominion Energy Inc,US,6,40.3%,6,39.8%,9,43.7%,5,37.6%,6,1.0%,Utilities,Multi-Utilities,False,20.70,47.31B,<span style='color: green;'>0.70%</span>,<span style='color: green;'>0.73%</span>,<span style='color: red;'>-1.16%</span>,<span style='color: green;'>2.40%</span>,<span style='color: green;'>27.44%</span>,<span style='color: green;'>4.57%</span>,7.91%,4.74%,3.52%,-9.12%,27.51%,4.52M,0.59
<b>612</b>,<b><a href='https://tossinvest.com/stocks/HCA/analytics'>HCA</a></b>,HCA Healthcare Inc,US,6,40.3%,7,41.6%,8,42.6%,8,42.5%,6,1.1%,Health Care,Health Care Providers ...,False,14.62,79.84B,<span style='color: green;'>2.92%</span>,<span style='color: green;'>0.95%</span>,<span style='color: red;'>-6.06%</span>,<span style='color: red;'>-13.76%</span>,<span style='color: green;'>5.00%</span>,<span style='color: green;'>7.11%</span>,,0.87%,15.28%,-22.93%,10.87%,1.53M,1.68
<b>613</b>,<b><a href='https://tossinvest.com/stocks/HRL/analytics'>HRL</a></b>,Hormel Foods Corp,US,6,40.3%,5,39.5%,6,39.7%,7,41.8%,6,1.2%,Consumer Staples,Food Products,False,19.67,15.84B,<span style='color: green;'>1.12%</span>,<span style='color: red;'>-6.51%</span>,<span style='color: red;'>-1.23%</span>,<span style='color: red;'>-10.92%</span>,<span style='color: green;'>2.19%</span>,<span style='color: red;'>-8.03%</span>,10.24%,4.02%,7.34%,-21.73%,2.93%,2.72M,0.20
<b>614</b>,<b><a href='https://tossinvest.com/stocks/PAAS/analytics'>PAAS</a></b>,Pan American Silver Corp,CA,6,40.3%,6,40.2%,6,40.8%,8,42.7%,5,1.6%,Materials,Metals & Mining,False,82.95,9.26B,<span style='color: green;'>0.99%</span>,<span style='color: green;'>16.39%</span>,<span style='color: green;'>19.10%</span>,<span style='color: green;'>21.03%</span>,<span style='color: green;'>94.36%</span>,<span style='color: green;'>26.11%</span>,2.36%,1.82%,2.04%,-2.09%,109.19%,2.87M,1.26
<b>615</b>,<b><a href='https://tossinvest.com/stocks/CI/analytics'>CI</a></b>,Cigna Group,US,6,40.3%,6,40.4%,5,39.6%,7,42.2%,6,1.3%,Health Care,Health Care Providers ...,False,24.49,83.36B,<span style='color: green;'>2.39%</span>,<span style='color: green;'>3.84%</span>,<span style='color: red;'>-6.40%</span>,<span style='color: red;'>-11.75%</span>,<span style='color: red;'>-11.06%</span>,<span style='color: green;'>8.52%</span>,7.87%,2.51%,4.75%,-19.19%,14.37%,2.02M,0.54
<b>616</b>,<b><a href='https://tossinvest.com/stocks/WRB/analytics'>WRB</a></b>,W.R. Berkley Corp,US,6,40.3%,8,42.8%,9,43.9%,6,40.7%,6,1.1%,Financials,Insurance,False,13.85,23.02B,<span style='color: red;'>-0.56%</span>,<span style='color: green;'>2.04%</span>,<span style='color: red;'>-0.56%</span>,<span style='color: green;'>5.23%</span>,<span style='color: green;'>9.67%</span>,<span style='color: green;'>3.21%</span>,22.16%,1.28%,15.63%,-7.01%,21.34%,1.67M,0.65
<b>617</b>,<b><a href='https://tossinvest.com/stocks/ENTG/analytics'>ENTG</a></b>,Entegris Inc,US,6,40.3%,5,39.3%,5,39.3%,9,43.9%,5,1.6%,Information Technology,Semiconductors & Semic...,False,55.63,16.21B,<span style='color: red;'>-0.47%</span>,<span style='color: green;'>0.50%</span>,<span style='color: green;'>9.82%</span>,<span style='color: red;'>-6.40%</span>,<span style='color: red;'>-21.60%</span>,<span style='color: green;'>8.28%</span>,8.25%,0.39%,3.78%,-27.32%,13.00%,2.13M,1.33
<b>618</b>,<b><a href='https://tossinvest.com/stocks/BURL/analytics'>BURL</a></b>,Burlington Stores Inc,US,6,40.3%,7,41.8%,5,39.3%,7,41.8%,6,1.3%,Consumer Discretionary,Specialty Retail,False,33.15,15.36B,<span style='color: red;'>-3.27%</span>,<span style='color: red;'>-16.43%</span>,<span style='color: red;'>-10.02%</span>,<span style='color: red;'>-8.49%</span>,<span style='color: green;'>23.99%</span>,<span style='color: red;'>-15.11%</span>,47.10%,,8.09%,-19.04%,38.57%,849.23K,1.71
<b>619</b>,<b><a href='https://tossinvest.com/stocks/WY/analytics'>WY</a></b>,Weyerhaeuser Co,US,6,40.3%,5,39.3%,6,40.0%,6,40.5%,6,0.8%,Real Estate,Equity Real Estate Inv...,False,55.19,21.75B,<span style='color: green;'>1.28%</span>,<span style='color: red;'>-1.48%</span>,<span style='color: red;'>-2.50%</span>,<span style='color: green;'>0.58%</span>,<span style='color: red;'>-7.46%</span>,<span style='color: green;'>6.47%</span>,3.97%,2.75%,2.69%,-17.37%,12.12%,3.51M,1.45
<b>620</b>,<b><a href='https://tossinvest.com/stocks/WIX/analytics'>WIX</a></b>,Wix.com Ltd,IL,6,40.3%,7,41.1%,5,39.2%,7,41.4%,5,1.5%,Information Technology,IT Services,False,87.27,11.33B,<span style='color: red;'>-11.76%</span>,<span style='color: red;'>-14.49%</span>,<span style='color: green;'>13.13%</span>,<span style='color: green;'>19.00%</span>,<span style='color: green;'>60.03%</span>,<span style='color: red;'>-5.08%</span>,,,47.64%,-17.59%,73.20%,754.07K,1.61
<b>621</b>,<b><a href='https://tossinvest.com/stocks/AME/analytics'>AME</a></b>,Ametek Inc,US,6,40.3%,6,40.4%,6,40.5%,9,44.3%,6,1.0%,Industrials,Electrical Equipment,False,31.84,43.67B,<span style='color: green;'>1.77%</span>,<span style='color: green;'>2.21%</span>,<span style='color: red;'>-2.09%</span>,<span style='color: green;'>15.00%</span>,<span style='color: green;'>9.25%</span>,<span style='color: green;'>4.73%</span>,14.97%,0.64%,12.42%,-4.82%,26.67%,1.19M,1.15
<b>622</b>,<b><a href='https://tossinvest.com/stocks/NTES/analytics'>NTES</a></b>,NetEase Inc ADR,CN,6,40.3%,6,40.5%,5,39.3%,5,39.6%,5,1.8%,Communication Services,Entertainment,False,15.83,63.12B,<span style='color: red;'>-7.07%</span>,<span style='color: green;'>0.70%</span>,<span style='color: green;'>19.22%</span>,<span style='color: green;'>10.75%</span>,<span style='color: red;'>-3.44%</span>,<span style='color: green;'>13.69%</span>,22.60%,2.24%,21.65%,-11.42%,33.71%,1.25M,0.60
<b>623</b>,<b><a href='https://tossinvest.com/stocks/GOOGL/analytics'>GOOGL</a></b>,Alphabet Inc,US,6,40.3%,7,41.5%,7,41.1%,6,40.7%,6,1.3%,Communication Services,Interactive Media & Se...,False,22.94,2259.97B,<span style='color: green;'>0.52%</span>,<span style='color: red;'>-6.81%</span>,<span style='color: green;'>7.12%</span>,<span style='color: green;'>11.01%</span>,<span style='color: green;'>31.82%</span>,<span style='color: red;'>-2.50%</span>,32.91%,0.27%,28.68%,-10.86%,41.25%,28.82M,0.99
<b>624</b>,<b><a href='https://tossinvest.com/stocks/GOOG/analytics'>GOOG</a></b>,Alphabet Inc,US,6,40.3%,7,41.5%,7,41.1%,6,40.7%,6,1.3%,Communication Services,Interactive Media & Se...,False,23.20,2262.73B,<span style='color: green;'>0.65%</span>,<span style='color: red;'>-6.51%</span>,<span style='color: green;'>7.45%</span>,<span style='color: green;'>11.11%</span>,<span style='color: green;'>32.13%</span>,<span style='color: red;'>-2.00%</span>,32.91%,0.29%,28.68%,-10.57%,41.88%,19.23M,1.00
<b>625</b>,<b><a href='https://tossinvest.com/stocks/TSN/analytics'>TSN</a></b>,"Tyson Foods, Inc",US,6,40.3%,5,39.2%,6,40.3%,6,40.0%,5,1.3%,Consumer Staples,Food Products,False,19.55,20.64B,<span style='color: green;'>2.30%</span>,<span style='color: green;'>4.69%</span>,<span style='color: red;'>-8.10%</span>,<span style='color: red;'>-5.38%</span>,<span style='color: green;'>11.28%</span>,<span style='color: green;'>2.91%</span>,5.74%,3.36%,3.73%,-11.62%,13.43%,2.34M,0.73
<b>626</b>,<b><a href='https://tossinvest.com/stocks/COP/analytics'>COP</a></b>,Conoco Phillips,US,6,40.2%,6,39.7%,5,39.4%,7,41.9%,6,1.0%,Energy,"Oil, Gas & Consumable ...",False,13.07,129.78B,<span style='color: green;'>3.66%</span>,<span style='color: red;'>-2.19%</span>,<span style='color: red;'>-9.19%</span>,<span style='color: red;'>-8.08%</span>,<span style='color: red;'>-5.70%</span>,<span style='color: green;'>2.85%</span>,16.16%,3.16%,10.38%,-24.28%,8.25%,7.44M,1.12
<b>627</b>,<b><a href='https://tossinvest.com/stocks/KT/analytics'>KT</a></b>,KT Corporation ADR,KR,6,40.2%,6,39.9%,6,40.1%,5,37.4%,6,1.0%,Communication Services,Diversified Telecommun...,False,24.00,8.63B,<span style='color: green;'>4.46%</span>,<span style='color: green;'>3.48%</span>,<span style='color: green;'>15.46%</span>,<span style='color: green;'>22.63%</span>,<span style='color: green;'>25.07%</span>,<span style='color: green;'>13.08%</span>,2.53%,4.56%,1.94%,-4.88%,45.04%,1.87M,0.95
<b>628</b>,<b><a href='https://tossinvest.com/stocks/AMCR/analytics'>AMCR</a></b>,Amcor Plc,GB,6,40.2%,6,40.5%,6,39.9%,5,39.1%,6,1.0%,Materials,Containers & Packaging,False,18.86,15.02B,<span style='color: green;'>4.00%</span>,<span style='color: green;'>6.13%</span>,<span style='color: green;'>1.66%</span>,<span style='color: red;'>-2.17%</span>,<span style='color: green;'>14.93%</span>,<span style='color: green;'>10.41%</span>,20.60%,4.90%,7.18%,-9.49%,18.07%,17.98M,0.82
<b>629</b>,<b><a href='https://tossinvest.com/stocks/ARCC/analytics'>ARCC</a></b>,Ares Capital Corp,US,6,40.2%,6,40.2%,5,39.2%,7,41.4%,7,0.7%,Financials,Capital Markets,False,9.59,15.71B,<span style='color: green;'>2.14%</span>,<span style='color: green;'>0.13%</span>,<span style='color: green;'>11.19%</span>,<span style='color: green;'>17.47%</span>,<span style='color: green;'>27.30%</span>,<span style='color: green;'>6.90%</span>,,8.21%,,-1.85%,21.12%,4.70M,1.06
<b>630</b>,<b><a href='https://tossinvest.com/stocks/LLY/analytics'>LLY</a></b>,Lilly(Eli) & Co,US,6,40.2%,6,40.8%,9,45.0%,9,45.0%,6,1.2%,Health Care,Pharmaceuticals,False,74.51,828.87B,<span style='color: green;'>0.02%</span>,<span style='color: green;'>17.62%</span>,<span style='color: green;'>17.01%</span>,<span style='color: red;'>-5.12%</span>,<span style='color: green;'>12.18%</span>,<span style='color: green;'>13.10%</span>,65.75%,0.81%,24.47%,-10.22%,22.73%,3.65M,0.36
<b>631</b>,<b><a href='https://tossinvest.com/stocks/NVO/analytics'>NVO</a></b>,Novo Nordisk ADR,DK,6,40.2%,7,41.2%,5,37.5%,4,36.2%,5,1.6%,Health Care,Pharmaceuticals,False,25.51,281.72B,<span style='color: green;'>2.38%</span>,<span style='color: green;'>3.34%</span>,<span style='color: red;'>-17.69%</span>,<span style='color: red;'>-38.09%</span>,<span style='color: red;'>-31.73%</span>,<span style='color: red;'>-2.65%</span>,82.03%,2.28%,45.25%,-43.48%,7.61%,8.38M,0.44
<b>632</b>,<b><a href='https://tossinvest.com/stocks/GIB/analytics'>GIB</a></b>,CGI Inc,CA,6,40.2%,5,39.4%,8,42.7%,6,40.8%,6,0.8%,Information Technology,IT Services,False,21.24,26.38B,<span style='color: red;'>-2.76%</span>,<span style='color: green;'>6.19%</span>,<span style='color: green;'>9.40%</span>,<span style='color: green;'>7.49%</span>,<span style='color: green;'>2.30%</span>,<span style='color: green;'>7.32%</span>,19.01%,0.14%,13.95%,-4.45%,21.05%,187.84K,0.95
<b>633</b>,<b><a href='https://tossinvest.com/stocks/MTCH/analytics'>MTCH</a></b>,Match Group Inc,US,6,40.2%,6,40.6%,8,42.9%,5,38.8%,5,1.9%,Communication Services,Interactive Media & Se...,False,16.75,8.50B,<span style='color: red;'>-0.38%</span>,<span style='color: green;'>3.45%</span>,<span style='color: green;'>10.29%</span>,<span style='color: red;'>-7.41%</span>,<span style='color: red;'>-9.90%</span>,<span style='color: green;'>3.55%</span>,,1.29%,14.56%,-12.80%,22.47%,4.51M,1.24
<b>634</b>,<b><a href='https://tossinvest.com/stocks/BP/analytics'>BP</a></b>,BP plc ADR,GB,6,40.2%,6,40.5%,5,39.1%,5,38.2%,6,1.1%,Energy,"Oil, Gas & Consumable ...",False,438.61,90.41B,<span style='color: red;'>-0.09%</span>,<span style='color: green;'>9.93%</span>,<span style='color: green;'>19.57%</span>,<span style='color: green;'>3.18%</span>,<span style='color: green;'>1.98%</span>,<span style='color: green;'>17.22%</span>,0.59%,5.67%,0.31%,-14.23%,24.54%,11.10M,0.57
<b>635</b>,<b><a href='https://tossinvest.com/stocks/SRPT/analytics'>SRPT</a></b>,Sarepta Therapeutics Inc,US,6,40.2%,7,41.4%,5,38.3%,5,39.3%,4,2.9%,Health Care,Biotechnology,False,90.06,10.36B,<span style='color: red;'>-1.27%</span>,<span style='color: red;'>-7.18%</span>,<span style='color: green;'>3.70%</span>,<span style='color: red;'>-21.03%</span>,<span style='color: red;'>-19.46%</span>,<span style='color: red;'>-10.84%</span>,12.27%,,4.82%,-37.43%,7.18%,870.14K,0.78
<b>636</b>,<b><a href='https://tossinvest.com/stocks/EQNR/analytics'>EQNR</a></b>,Equinor ASA ADR,NO,6,40.2%,5,38.9%,6,39.9%,5,37.9%,6,1.2%,Energy,"Oil, Gas & Consumable ...",False,7.55,64.20B,<span style='color: green;'>0.90%</span>,<span style='color: red;'>-4.36%</span>,<span style='color: red;'>-2.00%</span>,<span style='color: red;'>-15.05%</span>,<span style='color: red;'>-7.78%</span>,<span style='color: red;'>-0.89%</span>,19.39%,6.53%,13.77%,-16.46%,9.19%,3.71M,0.77
<b>637</b>,<b><a href='https://tossinvest.com/stocks/AU/analytics'>AU</a></b>,AngloGold Ashanti Plc,GB,6,40.2%,6,40.2%,9,44.6%,5,37.7%,5,1.7%,Materials,Metals & Mining,False,392.40,16.12B,<span style='color: red;'>-3.44%</span>,<span style='color: green;'>14.52%</span>,<span style='color: green;'>34.37%</span>,<span style='color: green;'>1.55%</span>,<span style='color: green;'>84.77%</span>,<span style='color: green;'>38.73%</span>,0.90%,2.65%,0.42%,-5.17%,88.24%,3.19M,0.92
<b>638</b>,<b><a href='https://tossinvest.com/stocks/MOH/analytics'>MOH</a></b>,Molina Healthcare Inc,US,6,40.2%,7,41.2%,6,40.2%,8,42.7%,5,1.5%,Health Care,Health Care Providers ...,False,14.27,16.18B,<span style='color: green;'>9.34%</span>,<span style='color: red;'>-2.01%</span>,<span style='color: red;'>-0.98%</span>,<span style='color: red;'>-15.81%</span>,<span style='color: red;'>-27.45%</span>,<span style='color: green;'>0.14%</span>,27.07%,,15.35%,-31.25%,11.11%,651.26K,0.56
<b>639</b>,<b><a href='https://tossinvest.com/stocks/ARM/analytics'>ARM</a></b>,Arm Holdings plc. ADR,GB,6,40.2%,7,41.3%,6,40.5%,8,42.2%,4,2.9%,Information Technology,Semiconductors & Semic...,False,199.04,159.00B,<span style='color: red;'>-2.93%</span>,<span style='color: red;'>-2.80%</span>,<span style='color: green;'>17.18%</span>,<span style='color: green;'>14.01%</span>,<span style='color: green;'>17.54%</span>,<span style='color: green;'>22.28%</span>,14.11%,,12.12%,-20.08%,76.21%,5.72M,4.63
